Hole_Depth,Rotary_RPM,Differential_Pressure,Total_Pump_Output,Weight_on_Bit,Rotary_Torque,Standpipe_Pressure,Flow,Rate_Of_Penetration
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,104.012,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
0,0,0,0,0,101.891,0,0,0
